folio;depto;area;s01a_01;s01a_02;s01a_02e;s01a_03;s01a_03e;s01a_04;s01a_05;s01a_06;s01a_06e;s01a_07;s01a_08;s01a_08e;s01a_09;s01a_09e;s01a_10;s01a_10e;s01a_11aa;s01a_11ab;s01a_11b;s01a_12;s01a_13;s01a_14_1;s01a_14_2;s01a_14_3;s01a_15;s01a_16;s01a_17;s01a_18;s01a_19;s01a_20;s01a_21;s01a_21e;s01a_22_1a;s01a_22_1b;s01a_22_2a;s01a_22_2b;s01a_22_3a;s01a_22_3b;s01a_22_4a;s01a_22_4ae;s01a_22_4b;s01a_23_1a;s01a_23_1b;s01a_23_2a;s01a_23_2b;s01a_23_3a;s01a_23_3b;s01a_23_4a;s01a_23_4b;s01a_23_5a;s01a_23_5ae;s01a_23_5b;s01a_24;s01a_25;s01a_25e;s01a_26;s01a_27;s01a_28;s01a_29;s01a_30;s01a_31;upm;estrato;factor
666;8;1;1;3; ; ; ;4000; ;1; ;1;2; ;7; ;11; ; ; ; ;30;2;1;1;1;1;2;2;4;1;110;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;25;1;1;2; ;2;814-00755463913-A;14;316
759;8;1;1;1; ;5;HERENCIA; ;2000;1; ;1;2; ;6; ;10; ; ; ; ;50;1;1;1;1;1;1;1; ;1;250;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;25;6;6;1;60;2;814-00756167925-A;14;316
881;5;1;4;3; ; ; ;250; ;2; ;1;1; ;5; ;2; ;8;0;1;5;2;1;1;1;1;1;1; ;1;60;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;3; ;28;1;0;2; ;2;512-00377418851-A;12;350
884;5;1;4;3; ; ; ;200; ;2; ;1;1; ;5; ;2; ;4;0;1;4;1;1;1;1;1;1;2;2;1;10;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;3; ;11;1;0;2; ;2;512-00377418851-A;12;350
888;8;1;1;1; ;4; ; ;500;1; ;1;2; ;5; ;2; ;1;0;1;130;1;2;2;2;1;1;2;3;1;150;6; ;1;35000;2; ;1;500;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;25;1;1;2; ;2;814-00755463913-A;14;316
893;8;1;1;1; ;4; ; ;1000;1; ;1;2; ;6; ;2; ;1;0;4;200;1;2;1;2;1;2;1; ;1;200;6; ;1;10000;2; ;1;500;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;3; ;75;3;3;2; ;2;814-00755463913-A;14;316
986;5;1;1;1; ;4; ; ;150;2; ;1;3; ;5; ;1; ;12;0;2;28;2;1;1;1;1;1;2;4;1;218;5; ;2; ;1;300;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;32;4;4;2; ;2;512-00377418851-A;12;350
993;5;1;1;7; ; ; ; ;150;2; ;1;1; ;5; ;2; ;5;0;2;50;2;1;2;2;1;1;2;2;1;60;6; ;2; ;2; ;2; ;2; ; ;1;1000;2; ;2; ;2; ;2; ; ;2;3; ;25;1;0;2; ;2;512-00377418851-A;12;350
1348;8;1;1;1; ;4; ; ;1000;1; ;1;2; ;5; ;1; ;6;0;7;130;1;1;1;1;1;1;1; ;1;60;6; ;1;2400;2; ;2; ;1;LEVANTAMIENTO DE BARDA DE MATERIAL DE CHUCHIO;220;2; ;1;220;2; ;2; ;2; ; ;1;3; ;25;1;1;2; ;2;814-00756167925-A;14;316
1429;5;1;4;3; ; ; ;150; ;1; ;1;3; ;6; ;2; ;3;0;2;10;2;1;1;1;1;1;2;2;1;35;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;3; ;25;1;0;2; ;2;512-00377418851-A;12;350
1435;5;1;1;2; ;1; ; ;600;1; ;1;3; ;5; ;1; ;12;0;7;14;1;1;1;1;2; ;1; ;1;80;6; ;2; ;2; ;2; ;1;PINTADO DE PUERTA;150;2; ;2; ;2; ;2; ;2; ; ;1;4; ;8;2;2;2; ;2;513-00378440236-A;13;402
1436;5;1;1;1; ;4; ; ;1000;1; ;2;3; ;6; ;1; ;5;0;7;28;2;1;1;1;1;1;1; ;1;210;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;17;5;3;2; ;2;513-00378440236-A;13;402
1437;5;1;1;1; ;4; ; ;600;1; ;1;1; ;6; ;1; ;4;0;6;25;2;1;1;1;2; ;1; ;1;25;6; ;2; ;2; ;2; ;2; ; ;1;6000;2; ;2; ;2; ;2; ; ;1;4; ;10;7;3;2; ;2;513-00378440236-A;13;402
1508;5;1;1;1; ;4; ; ;500;1; ;1;1; ;6; ;1; ;3;0;2;28;2;1;1;1;1;1;2;2;1;130;6; ;1;3000;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;10;4;3;2; ;2;512-00377418851-A;12;350
1515;5;1;1;1; ;4; ; ;150;2; ;1;1; ;5; ;2; ;2;0;2;18;2;1;2;1;1;1;1; ;1;25;6; ;2; ;2; ;2; ;2; ; ;2; ;1;1000;2; ;2; ;2; ; ;1;4; ;20;2;1;2; ;2;512-00377418851-A;12;350
1527;5;1;4;7; ; ; ; ;250;1; ;1;1; ;6; ;2; ;4;0;1;5;1;1;1;1;1;1;2;2;1;45;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2;3; ;22;1;0;2; ;2;512-00377418851-A;12;350
1557;5;1;1;1; ;4; ; ;800;2; ;1;1; ;3; ;2; ;12;0;7;17;2;1;1;1;1;1;1; ;1;36;6; ;2; ;2; ;2; ;2; ; ;1;30000;2; ;2; ;2; ;2; ; ;1;4; ;13;5;3;2; ;2;514-00377379138-A;14;411
1558;5;1;1;1; ;4; ; ;1200;1; ;1;1; ;3; ;1; ;2;0;7;50;2;1;1;1;1;1;1; ;1;170;6; ;2; ;2; ;2; ;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;4; ;25;7;5;1;36;2;514-00377379138-A;14;411
